spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
134,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,10bRight,11,2,Resident Only
135,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10bRight,15,3,Resident Only
136,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,10bRight,14,2,Resident Only
137,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10bRight,15,1,Resident Only
138,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,10bRight,14,3,Resident Only
139,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10bRight,15,1,Resident Only
140,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,10bRight,14,3,Resident Only
141,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,11Right,14,4,Resident Only
142,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,11Right,14,3,Resident Only
143,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,11Right,13,4,Resident Only
144,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Right,15,1,Resident Only
145,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,11Right,14,4,Resident Only
146,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Right,15,2,Resident Only
147,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11Right,0,0,Resident Only
148,true,true,true,true,true,false,false,true,false,false,false,false,true,true,false,11Right,8,3,Handicapped
149,true,true,true,false,false,true,true,true,true,true,false,false,false,false,true,11Right,9,3,Handicapped
150,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,12Right,12,1,Resident Only
151,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,12Right,5,3,Resident Only
152,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,12Right,3,2,Resident Only
153,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,12Right,5,3,Resident Only
154,true,true,false,false,false,true,false,false,true,true,true,false,true,true,true,12Right,9,4,Resident Only
155,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,12Right,11,4,Resident Only
156,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,12Right,4,2,Resident Only
157,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,2,Resident Only
158,true,true,true,true,false,false,false,false,false,false,false,true,true,true,true,12Right,8,2,Resident Only
159,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,12Right,1,1,Resident Only
160,true,false,false,false,false,false,true,false,false,false,false,true,true,true,true,12Right,6,4,Resident Only
